Method,Rules,Dictionary,Target,Recovered Rate (%),Number of Rules,Rule generation time,Rule generating rate,Parameters,
dbscan,hotmail.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,35.67%,99,2.4168832302093506,0.024412961921306573,min points: 3,eps: 2
hac,hotmail.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,33.62%,99,2.5355594158172607,0.025611711,distance_threshold: 4,
ap,hotmail.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,35.58%,99,216.26775431632996,2.184522771,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,28.63%,99,2.4168832302093506,0.024412961921306573,min points: 3,eps: 2
hac,hotmail.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,27.10%,99,2.5355594158172607,0.025611711,distance_threshold: 4,
ap,hotmail.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,28.22%,99,216.26775431632996,2.184522771,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,probable-v2-top12000_M.txt,myspace.txt,14.68%,99,2.4168832302093506,0.024412961921306573,min points: 3,eps: 2
hac,hotmail.txt,probable-v2-top12000_M.txt,myspace.txt,12.88%,99,2.5355594158172607,0.025611711,distance_threshold: 4,
ap,hotmail.txt,probable-v2-top12000_M.txt,myspace.txt,14.82%,99,216.26775431632996,2.184522771,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,probable-v2-top12000_M.txt,default-passwords.txt,31.51%,99,2.4168832302093506,0.024412961921306573,min points: 3,eps: 2
hac,hotmail.txt,probable-v2-top12000_M.txt,default-passwords.txt,30.97%,99,2.5355594158172607,0.025611711,distance_threshold: 4,
ap,hotmail.txt,probable-v2-top12000_M.txt,default-passwords.txt,29.83%,99,216.26775431632996,2.184522771,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,28.48%,99,2.4168832302093506,0.024412961921306573,min points: 3,eps: 2
hac,hotmail.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,26.33%,99,2.5355594158172607,0.025611711,distance_threshold: 4,
ap,hotmail.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,28.27%,99,216.26775431632996,2.184522771,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,25.40%,99,2.4168832302093506,0.024412961921306573,min points: 3,eps: 2
hac,hotmail.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,23.48%,99,2.5355594158172607,0.025611711,distance_threshold: 4,
