Method,Rules,Dictionary,Target,Recovered Rate (%),Number of Rules,Rule generation time,Rule generating rate,Parameters
dbscan,hotmail.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,50.05%,10669,8.991729497909546,0.0008427902800552578,min points: 3,eps: 2
hac,hotmail.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,48.50%,6658,5.9234795570373535,0.0008896785156259167,distance_threshold: 4
ap,hotmail.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,50.01%,9767,206.91065883636475,0.02118466866349593,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,40.14%,10669,8.991729497909546,0.0008427902800552578,min points: 3,eps: 2
hac,hotmail.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,37.32%,6658,5.9234795570373535,0.0008896785156259167,distance_threshold: 4
ap,hotmail.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,39.81%,9767,206.91065883636475,0.02118466866349593,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,probable-v2-top12000_M.txt,myspace.txt,21.67%,10669,8.991729497909546,0.0008427902800552578,min points: 3,eps: 2
hac,hotmail.txt,probable-v2-top12000_M.txt,myspace.txt,21.56%,6658,5.9234795570373535,0.0008896785156259167,distance_threshold: 4
ap,hotmail.txt,probable-v2-top12000_M.txt,myspace.txt,22.57%,9767,206.91065883636475,0.02118466866349593,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,probable-v2-top12000_M.txt,default-passwords.txt,33.64%,10669,8.991729497909546,0.0008427902800552578,min points: 3,eps: 2
hac,hotmail.txt,probable-v2-top12000_M.txt,default-passwords.txt,33.11%,6658,5.9234795570373535,0.0008896785156259167,distance_threshold: 4
ap,hotmail.txt,probable-v2-top12000_M.txt,default-passwords.txt,36.83%,9767,206.91065883636475,0.02118466866349593,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,43.32%,10669,8.991729497909546,0.0008427902800552578,min points: 3,eps: 2
hac,hotmail.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,41.35%,6658,5.9234795570373535,0.0008896785156259167,distance_threshold: 4
ap,hotmail.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,43.15%,9767,206.91065883636475,0.02118466866349593,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,46.01%,10669,8.991729497909546,0.0008427902800552578,min points: 3,eps: 2
hac,hotmail.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,43.63%,6658,5.9234795570373535,0.0008896785156259167,distance_threshold: 4
ap,hotmail.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,45.89%,9767,206.91065883636475,0.02118466866349593,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,10-million-password-list-top-10000_M.txt,myspace.txt,18.64%,10669,8.991729497909546,0.0008427902800552578,min points: 3,eps: 2
hac,hotmail.txt,10-million-password-list-top-10000_M.txt,myspace.txt,18.47%,6658,5.9234795570373535,0.0008896785156259167,distance_threshold: 4
ap,hotmail.txt,10-million-password-list-top-10000_M.txt,myspace.txt,19.48%,9767,206.91065883636475,0.02118466866349593,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,27.47%,10669,8.991729497909546,0.0008427902800552578,min points: 3,eps: 2
hac,hotmail.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,26.26%,6658,5.9234795570373535,0.0008896785156259167,distance_threshold: 4
ap,hotmail.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,31.13%,9767,206.91065883636475,0.02118466866349593,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,46.80%,1578,0.8849859237670898,0.0005608275816014511,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,45.88%,1393,0.8871793746948242,0.0006368839732195436,distance_threshold: 4
ap,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,47.18%,1446,2.8056843280792236,0.0019403072808293386,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,34.95%,1578,0.8849859237670898,0.0005608275816014511,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,34.77%,1393,0.8871793746948242,0.0006368839732195436,distance_threshold: 4
ap,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,35.19%,1446,2.8056843280792236,0.0019403072808293386,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,myspace.txt,20.18%,1578,0.8849859237670898,0.0005608275816014511,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,myspace.txt,19.55%,1393,0.8871793746948242,0.0006368839732195436,distance_threshold: 4
ap,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,myspace.txt,20.30%,1446,2.8056843280792236,0.0019403072808293386,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,29.60%,1578,0.8849859237670898,0.0005608275816014511,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,29.91%,1393,0.8871793746948242,0.0006368839732195436,distance_threshold: 4
ap,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,29.83%,1446,2.8056843280792236,0.0019403072808293386,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,39.60%,1578,0.8849859237670898,0.0005608275816014511,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,38.50%,1393,0.8871793746948242,0.0006368839732195436,distance_threshold: 4
