rule_file,rule_count,attack_word_list,attacked_password_file,passwords_in_password_file,cracked_passwords_count,guesses,cracked_passwords_percentage
hotmail.out,50,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,14603,499950,14.61
hotmail.out,100,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,15398,999900,15.4
hotmail.out,200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,19015,1999800,19.02
hotmail.out,400,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,21130,3999600,21.13
hotmail.out,800,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,25240,7999200,25.24
hotmail.out,1200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,27246,11998800,27.25
hotmail.out,3000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,31551,29997000,31.56
hotmail.out,5000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,34611,49995000,34.62
hotmail.out,6000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,35288,59994000,35.29
hotmail_dbscan.rule,50,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,17794,499950,17.8
hotmail_dbscan.rule,100,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,22059,999900,22.06
hotmail_dbscan.rule,200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,30579,1999800,30.58
hotmail_dbscan.rule,400,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,38908,3999600,38.91
hotmail_dbscan.rule,800,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,41645,7999200,41.65
hotmail_dbscan.rule,1200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,42032,11998800,42.04
hotmail_dbscan.rule,3000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,43026,29997000,43.03
hotmail_dbscan.rule,5000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,43950,49995000,43.96
hotmail_dbscan.rule,6000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,44325,59994000,44.33
hotmail_ap.rule,50,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,18332,499950,18.33
hotmail_ap.rule,100,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,23265,999900,23.27
hotmail_ap.rule,200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,34890,1999800,34.89
hotmail_ap.rule,400,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,38887,3999600,38.89
hotmail_ap.rule,800,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,41998,7999200,42.0
hotmail_ap.rule,1200,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,42183,11998800,42.19
hotmail_ap.rule,3000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,43089,29997000,43.1
hotmail_ap.rule,5000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,44043,49995000,44.05
hotmail_ap.rule,6000,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,44479,59994000,44.49
hotmail_hac.rule,50,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,22421,499950,22.42
hotmail_hac.rule,100,1_DIRECTORY_WORDLISTS/10-million-password-list-top-10000_M.txt,2_DIRECTORY_PASSWORDS/xato-net-10-million-passwords-100000_M.txt,99986,27108,999900,27.11
